,Date,User,Reviews,Critics_Strength
33,2015-03-07,/critic/jim-schembri,"
                    Driven by the blustery, swear-happy, cadence-free performances that characterise most Seth Rogen comedies, this reasonably funny lark at least has the distinction of mixing in some light political satire with the usual knockabout fare we've come to expect
                ",1
34,2015-03-04,/critic/matt-brunson,"
                    It's a workable premise, and the film delivers some scattered laughs in those moments when it can tear itself away from typically puerile and repetitive gags.
                ",0
35,2015-02-28,/critic/robert-roten,"
                    I didn't laugh at all that blood and gore, but I did laugh at some of the running jokes about junk news shows and celebrity interviews. That stuff is close to the truth.
                ",1
36,2015-02-27,/critic/blake-howard,"
                    The Interview is all bromance and no bite, all dick jokes and no penetrating satire. Sorry Seth and Evan; Trey and Matt did it.
                ",1
37,2015-02-20,/critic/stephen-romei,"
                    The final third of the film, which is directed by Rogen and Evan Goldberg, degenerates into a humourless and violent Rambo pastiche.
                ",0
38,2015-02-19,/critic/tony-stamp,"
                    More tasteless farce than blistering satire, The Interview is a relatively innocuous comedy...
                ",1
39,2015-02-18,/critic/craig-mathieson,"
                    The Interview at its best is just intermittently amusing, with an obsession about the sanctity of bottoms. These boys need to stop clenching.
                ",0
40,2015-02-18,/critic/paul-chambers,"
                    For every joke that works, there are five that don't.
                ",0
41,2015-02-17,/critic/geoffrey-macnab,"
                    Strangely misconceived, tasteless and only very intermittently funny.
                ",0
42,2015-02-12,/critic/cara-nash,"
                    While Rogen and Goldberg's stance is clearly anti-North Korean government, the duo don't exactly wave the American flag high either, with the film throwing some hits the way of its own country.
                ",1
43,2015-02-11,/critic/damien-straker,"
                    If we had all met our fate over The Interview, war really would be indefensibly senseless.
                ",0
44,2015-02-09,/critic/andrew-l-urban,"
                    Some wild ideas and crazy situations by themselves don't make a 106 minute comedy. Please try harder
                ",0
45,2015-02-09,/critic/urban-cinefile-critics,"
                    The idea is much funnier than the film: a crazy cocktail of political satire and silly buddy movie jammed with sexual innuendos and crass references to body parts
                ",0
46,2015-02-09,/critic/ed-whitfield,"
                    What baffles is why Rogen and his retinue, having survived so many solid comic premises undermined by flabby improvisation and witless stoner shtick, don't get disciplined and start delivering on their ideas.
                ",0
47,2015-02-09,/critic/tom-clift,"
                    A ridiculous, juvenile, funny-ish dick-and-fart comedy that should be taken seriously by absolutely no one.
                ",1
48,2015-02-09,/critic/jack-giroux,"
                    From start to finish, The Interview is simply a joy to watch.
                ",1
49,2015-02-08,/critic/mark-kermode,"
                    I laughed more than I expected, spurred on by the fact that in doing so I was exercising a basic democratic right.
                ",1
50,2015-02-06,/critic/simon-reynolds,"
                    The Interview will be looked back on as a Hollywood comedy of huge significance, it's just a shame it isn't really any good.
                ",0
51,2015-02-06,/critic/rich-cline,"
                    There's half of a great satire here, as Seth Rogen, James Franco and Evan Goldberg combine that freewheeling mayhem from This Is the End with some more pointed political comedy.
                ",1
52,2015-02-06,/critic/charlotte-osullivan,"
                    You should see The Interview. But is it worth the price of admission? Though I will forever treasure its punch lines (""Your butt-hole is ironic!"") the answer, alas, is no.
                ",1
53,2015-02-06,/critic/allan-hunter,"
                    Bad taste jokes and a goofy bromance follow in an uninspired, unfunny romp.
                ",0
54,2015-02-06,/critic/peter-bradshaw,"
                    After a promisingly crass start, the film runs out of ideas and after some T&A material and violent slapstick, winds up in a mood of plumply sentimental solemnity.
                ",0
55,2015-02-05,/critic/karen-krizanovich,"
                    As a spoof on popular culture and politics, it's naughty, dumb and patchily funny. And while Franco chews the scenery, Rogen and Park display excellent comic timing.
                ",1
56,2015-02-05,/critic/rob-daniel,"
                    Who'd have thought a 21st century reboot of Spies Like Us would cause so much bother?
                ",1
57,2015-02-05,/critic/ryan-gilbey,"
                    The Dictator, starring Sacha Baron Cohen, was much sharper at skewering the hypocrisy of the US. But The Interview is still a naughty, nutty joy.
                ",1
58,2015-02-05,/critic/nigel-andrews,"
                    Everything it was cracked down to be.
                ",1
59,2015-02-05,/critic/scott-weinberg,"
                    Not the most consistently amusing film of the Rogen / Franco collection, but certainly the most politically audacious. Also: still pretty funny.
                ",1
60,2015-02-05,/critic/david-jenkins,"
                    Seth Rogen and James Franco topple communism with comic truth bombs in this jolly satire.
                ",1
61,2015-02-05,/critic/robbie-collin,"
                    It's the best thing both Franco and his co-star Seth Rogen have done in what feels like years: a raucous, abrasive, snort-out-loud satire with mischief in its heart and methane in its gut.
                ",1
62,2015-02-03,/critic/bob-strauss,"
                    Unfortunately, it grieves me to report that The Interview just ain't very funny.
                ",0
63,2015-02-02,/critic/eddie-harrison,"
                    The humour is mostly crotch-level and initial bonhomie gives way to tiresome violence in a largely joke-free finale.
                ",0
64,2015-02-01,/critic/william-goss,"
                    No matter how old-hat or gross-out the gags get, the two leads still get a fair amount of mileage out of their own reliably irreverent chemistry.
                ",1
65,2015-01-19,/critic/stephen-rebello,"
                    Park is sharp, funny and oddly sweet as the dictator but, even with a toned-down assassination sequence, the movie is a throwaway, worthier of a few laughs than it is a full-on international furor.
                ",0
66,2015-01-16,/critic/stuart-klawans,"
                    Amid the political and commercial hullaballoo about Seth Rogen and Evan Goldberg's The Interview, I found myself paraphrasing an old show-business adage: ""International relations are easy. Comedy is hard.""
                ",1
67,2015-01-16,/critic/shane-danielsen,"
                    A comedy fatally short on laughs.
                ",0
68,2015-01-12,/critic/john-beifuss,"
                    The movie more or less vaporizes the Supreme Leader in graphic slow motion... This is the special-effects shot heard 'round the world, judging by its reverberations in the arenas of entertainment, politics and the news media.
                ",1
69,2015-01-10,/critic/margot-harrison,"
                    It's dumb humor, all right. But it also follows a long cultural precedent of using schoolyard scatological jeers to bring down the mighty.
                ",1
70,2015-01-09,/critic/devin-faraci,"
                    If you can make it through the first fifteen minutes you'll be rewarded with a movie that's very funny, emotionally deep and has more, perhaps, to say about American interventionism than it does about the real Kim Jong Un.
                ",1
71,2015-01-09,/critic/alison-willmore,"
                    The Interview is marked by a true naiveté about international perception and what can be gotten away with in the name of ""all in good fun.""
                ",1
72,2015-01-09,/critic/peter-canavese,"
                    Determinedly silly...[but the] undisciplined frat-bro comedy's accumulation of innuendos, boner jokes, gay jokes, and gags that tread through racist and misogynist territory works out to less than the sum of the juvenile parts.
                ",0
73,2015-01-09,/critic/michael-sragow,"
                    Rogen is far better at directing other performers-or at least performers who are not close friends-than he is at directing himself.
                ",0
74,2015-01-08,/critic/blake-goble,"
                    At its best, The Interview is a deft work of satire.
                ",1
75,2015-01-08,/critic/ken-hanke,"
                    Whether or not the film strikes a blow for free speech, it most certainly strikes one for lowbrow humor and dubious taste.
                ",0
76,2015-01-07,/critic/john-serba,"
                    It's funny, both as a bro-buddy comedy with many jokes sourced from the underwear region, and as an opportunity to put the ""political"" in ""political incorrectness.""
                ",1
77,2015-01-06,/critic/wesley-morris,"
                    What's wrong with The Interview is that it doesn't know how to be the singeing comedy it wants.
                ",0
78,2015-01-06,/critic/philippa-hawker,"
                    The Interview might be a cause celebre, whose temporary shelving by Sony was treated as a free speech issue, but it is a broad, somewhat laboured comedy.
                ",0
79,2015-01-06,/critic/tim-walker,"
                    The Interview, the gross-out satire that has united Americans in support of free speech and against North Korea, is broad, bawdy and bad -- but also consistently, undeniably entertaining.
                ",1
80,2015-01-06,/critic/marjorie-baumgarten,"
                    The Interview, symbol though it's become, ain't nothing but a movie.
                ",0
81,2015-01-06,/critic/bill-brownstein,"
                    For those of us cynics anticipating the abominable, The Interview could come as quite the letdown. It has its moments. But make no mistake: this is adolescent, frat-house humour. Think Animal House meets Rambo.
                ",0
82,2015-01-05,/critic/cole-smithey,"
                    [VIDEO ESSAY] This could mark the first time in history that a movie was used as an excuse to start a war.
                ",0
83,2015-01-05,/critic/andrew-lapin,"
                    The Interview's jokes fall flat not because they're stupid, but because the stupidity doesn't rise to the occasion.
                ",0
84,2015-01-03,/critic/eric-melin,"
                    It is indeed a lowbrow comedy, but it's not just some dumb movie - and the fictitious assassination of a living world leader is not even the most dangerous thing about it.
                ",1
85,2015-01-03,/critic/david-keyes,"
                    Like an amateur with a shotgun, the movie fires everything it can at the screen without ever hitting a target.
                ",0
86,2015-01-01,/critic/peter-howell,"
                    Te best satire provokes and even outrages, and Rogen, Franco and Goldberg certainly succeed on that score.
                ",1
87,2015-01-01,/critic/bob-grimm,"
                    This maintains a level of hilarity on par with ""Pineapple Express"" and ""This is the End."" Everybody...just relax, and let yourself have a good laugh.
                ",1
88,2014-12-31,/critic/cj-johnson,"
                    Much more about friendship and loyalty than it is about killing a foreign leader or even making fun of one ... As satire it is very broad; as broad comedy it is surprisingly, and pleasingly, smart.
                ",1
89,2014-12-31,/critic/james-rocchi,"
                    The Interview may be caught up in turmoil -- considering how smart it is about how dumb we can be when pop culture meets politics, that's pretty funny -- but it's also a funny, risky and well-done comedy far ahead of most of its studio peers.
                ",1
90,2014-12-28,/critic/sean-p-means,"
                    Strip away the butt jokes, and there's a comic satire of power-mad idiocy on a level with ""Dr. Strangelove"" or ""Duck Soup.""
                ",1
91,2014-12-28,/critic/rebecca-murray,"
                    Unfortunately, while The Interview does have some truly funny moments, actually taking in a screening of the movie is a bit of a letdown.
                ",1
92,2014-12-27,/critic/willie-waffle,"
                    A great reminder why we should never go to war over a Seth Rogen movie, but we should go to the Cineplex for one.
                ",1
93,2014-12-27,/critic/bill-clark,"
                    Though overlong, The Interview elicits a good number of laughs from its go-for-broke execution and boundless energy.
                ",1
94,2014-12-27,/critic/david-poland,"
                    a silly, broad, very funny comedy about a couple of close male friends who represented high and low, going on a profoundly stupid adventure.
                ",1
95,2014-12-27,/critic/prairie-miller,"
                    A State Dept consulted presidential assassination comedy, exploiting bellicose twists and turns. And related to false flags, corporation terrorism, inside jobs, a covert assault on net neutrality, and the evolving, disturbing Military Hollywood Complex.
                ",0
96,2014-12-27,/critic/susan-granger,"
                    A silly, sloppy and sophomoric slob-comedy...to paraphrase Shakespeare, it's much ado about very little.
                ",0
97,2014-12-26,/critic/christy-lemire,"
                    This is what all the fuss was about?
                ",0
98,2014-12-26,/critic/wilson-morales,"
                    The film feels like a Saturday Night Live sketch that went longer than it should with the writers having no where to go after the laugh meter reached it peak early.
                ",0
99,2014-12-26,/critic/matt-pais,"
                    Somewhat funny, mostly pointless, definitely questionable, and arguably harmless.
                ",1
100,2014-12-26,/critic/peter-travers,"
                    It's stupid. It's in bad taste. It impossible. I know all that. But Rogen's instinct to try anything for giggles and sticking it to dictatorial assholes is worth fighting for. Screw Kim if he can't take a joke.
                ",1
101,2014-12-26,/critic/david-edelstein,"
                    It's certainly smutty-and infantile. Maybe half the jokes miss. But it is a truly savage work.
                ",1
102,2014-12-26,/critic/rob-thomas,"
                    ""The Interview"" is something of a disappointment, and I'm not just saying that because North Korea has gotten its Internet back up.
                ",0
103,2014-12-26,/critic/ty-burr,"
                    Everyone here is in way over his or her head.
                ",0
104,2014-12-26,/critic/joe-williams,"
                    Bluntly funny and ever-so-slightly sweet.
                ",1
105,2014-12-25,/critic/tim-brayton,"
                    It will go down in history. Not a bad fate for a totally undistinguished juvenile comedy with the nubbiest of satirical teeth.
                ",0
106,2014-12-25,/critic/harvey-s-karten,"
                    If the movie deserves criticism at all, it should not be because it's juvenile (it is, and proudly so), but only because the largely improvised jokes are hit and miss.
                ",1
107,2014-12-25,/critic/roger-moore,"
                    If you didn't see this in a theater, you cheated. And cheated yourself.
                ",1
108,2014-12-25,/critic/avi-offer,"
                    A toothless, brainless comedic misfire that's low on laughs, wit and clever satire. If you're expecting this to become a cult classic comedy, you'll be sorely disappointed.
                ",0
109,2014-12-25,/critic/ao-scott,"
                    Its lesson is that American pop culture is inescapable, our great achievement and most popular export, the weapon we wield abroad and the glue trap we struggle with at home.
                ",1
110,2014-12-25,/critic/louis-proyect,"
                    A film of monumental stupidity. If the Rand Corporation served as a consultant, no wonder American imperialism is messing up everywhere.
                ",0
111,2014-12-24,/critic/josh-bell,"
                    Some people might regard watching The Interview as an act of patriotism, but really it's just a mildly amusing way to pass the time.
                ",0
112,2014-12-24,/critic/brian-orndorf,"
                    Lost in a haze of aimless improvisation and dreary dumb guy antics, ""The Interview"" isn't a lethal weapon of a movie, it's merely a mediocre one, never matching its hellraising potential.
                ",0
113,2014-12-24,/critic/mark-dujsik,"
                    If anything, The Interview is too obvious in terms of its insights and too imprecise in terms of the humor it uses to bolster them.
                ",0
114,2014-12-24,/critic/travis-hopson,"
                    With so much controversy clouding just about everything with this rather sophomoric comedy, it may be easy to overlook the nuts it took to make it in the first place.
                ",1
115,2014-12-24,/critic/tirdad-derakhshani,"
                    The film is not a dangerous weapon, or a tool for anti-Korean propaganda. It does kill, but with comedy.
                ",1
116,2014-12-24,/critic/aisha-harris,"
                    If you like your dictator mockery served on a sharper, smarter dish, you should probably just do what everyone else seems to be doing, and rewatch Team America: World Police.
                ",0
117,2014-12-24,/critic/isaac-feldberg,"
                    Rogen and Franco have an easy chemistry that never fails to entertain, but The Interview is the dumbest and least continuously funny film they've been involved with to date.
                ",0
118,2014-12-24,/critic/ben-kenigsberg,"
                    Much of the film is devoted to the hit-and-miss (but strangely moving) riffing between the leading men.
                ",1
119,2014-12-23,/critic/g-allen-johnson,"
                    Imagine ""Harold and Kumar Go to North Korea,"" or ""Bill and Ted's Excellent North Korean Adventure"" or even ""The Road to Pyongyang"" starring Bob Hope and Bing Crosby. You get the idea.
                ",1
120,2014-12-23,/critic/william-bibbiani,"
                    There's a story hidden underneath all this incessant riffing that could have made a poignant statement about modern politics and celebrity if the movie had dared to actually follow it through.
                ",0
121,2014-12-22,/critic/monica-castillo,"
                    This buddy comedy is no classic on the level of Pineapple Express...
                ",1
122,2014-12-22,/critic/betsy-sharkey,"
                    Characterizing it as satire elevates the creative execution of the film's very silly faux assassination of North Korea's leader Kim Jong Un far beyond what it merits.
                ",0
123,2014-12-22,/critic/michael-dequina,"
                    In a less politically sensitive time, Randall Park's flat-out brilliant performance would be hailed as the breakout, star-making, even awards nomination-worthy, turn that it is.
                ",1
124,2014-12-19,/critic/kofi-outlaw,"
                    For all the controversy, in the end, the funniest thing about The Interview may be people's ""Is that what the fuss was about?"" response to the finished product.
                ",1
125,2014-12-19,/critic/stephanie-zacharek,"
                    Offers a few moments of casual brilliance but otherwise trips itself up in the threads of its contrived absurdity.
                ",0
126,2014-12-19,/critic/joe-morgenstern,"
                    The remarkably dismal quality is emblematic of the mind-set that brought the movie, and its attendant crises, into being.
                ",0
127,2014-12-18,/critic/roger-friedman,"
                    Randall Park, who plays Kim, is a riot throughout.
                ",1
128,2014-12-18,/critic/jake-coyle,"
                    ""The Interview"" struggles to really illuminate anything about the stranger-than-fiction Orwellian nightmare that is North Korea, but its attempt is admirable. It deserves to be seen.
                ",1
129,2014-12-18,/critic/kirk-honeycutt,"
                    It's just stupid enough that some things are funny. Sadly, it isn't smart enough to realize that other things aren't terribly funny and that an opportunity was lost here.
                ",0
130,2014-12-18,/critic/bruce-kirkland,"
                    It may be profane and sloppy and silly and insulting to the North Koreans, but The Interview is a guilty pleasure.
                ",1
131,2014-12-18,/critic/tess-hofmann,"
                    Not all of it is the type of humor that necessarily rewards repeated viewings, but it's fast and buoyant, and the chemistry between Franco and Rogen is pleasing as ever.
                ",1
132,2014-12-18,/critic/stephen-whitty,"
                    That something so carefully slapdash and happily juvenile actually resulted in cyber-sabotage and threats of violence is, in itself, an enormous kind of joke. Too bad it's the biggest one here.
                ",0
133,2014-12-18,/critic/rebecca-pahle,"
                    If you're curious, the movie that has North Korea so upset is genuinely amusing, if flawed in the length department.
                ",1
134,2014-12-18,/critic/sara-stewart,"
                    Hate to say it, but this film ain't half the satire it could have been.
                ",0
135,2014-12-17,/critic/joe-mcgovern,"
                    A dangerous comedy about a dangerous regime shouldn't be safe for suburban dads.
                ",0
136,2014-12-17,/critic/richard-corliss,"
                    Maybe you will love The Interview - if you can ever see the movie - as much as some people hate or fear it. But if you're hoping for any cogent political satire here, then the joke's on you.
                ",0
137,2014-12-17,/critic/joe-neumaier,"
                    In their third film together, Franco and Rogen have a terrific banter and an underlay of affection. This kind of rapport is rare.
                ",1
138,2014-12-17,/critic/jason-gorber,"
                    I love the idea of colliding the profane with the profound, and even if the film doesn't always quite work, I applaud the chutzpah to make it happen. I want more, not less of this stuff, more idols smashed, more balloons pricked.
                ",1
139,2014-12-17,/critic/matt-prigge,"
                    Yes, there have been terrorist threats over a Seth Rogen movie with a Guinness-level number of anus jokes.
                ",1
140,2014-12-16,/critic/rafer-guzman,"
                    Like their affable, ignorant characters, Rogen and Franco seem in way over their heads with ""The Interview.""
                ",0
141,2014-12-16,/critic/david-ehrlich,"
                    The Interview confirms Rogen as the most ambitious mainstream comedian in Hollywood.
                ",1
142,2014-12-15,/critic/drew-mcweeny,"
                    The Interview is laugh out loud funny all the way through, and once again proves that Rogen and Goldberg will do anything, no matter how dark, for a big laugh, and that character is just as important as punchlines in their work.
                ",1
143,2014-12-15,/critic/chris-cabin,"
                    It essentially uses a major global issue to cheaply dress up what is two hours of hit-and-miss erection jokes.
                ",0
144,2014-12-12,/critic/alonso-duralde,"
                    While The Interview never slacks in its mission to tell jokes, it's such a messy and meandering movie that it never quite lands as a satire of politics or the media or anything else.
                ",0
145,2014-12-12,/critic/roth-cornet,"
                    Though its unlikely to stand out as one of the shrewdest political satires of its time, [it] is a clever, unrestrained -- and most importantly -- sidesplitting parody that pokes fun at both a vapid media and one of the world's most dangerous dictators.
                ",1
146,2014-12-12,/critic/todd-mccarthy,"
                    The Interview has the comic batting average of a mediocre-to-average Saturday Night Live sketch ...
                ",0
147,2014-12-12,/critic/john-hazelton,"
                    A film that's funny in spots - with a few touches of mild political satire - but self-indulgent and one-note for long stretches.
                ",0
148,2014-12-12,/critic/jordan-hoffman,"
                    Putting two American dinguses in North Korea is rich source material for racial stereotyping, but the jokes are, by and large, self-aware.
                ",1
149,2014-12-12,/critic/scott-foundas,"
                    About as funny as a communist food shortage, and just as protracted.
                ",0
150,2014-12-12,/critic/scott-mendelson,"
                    The Interview flirts with some fascinating moral and societal subtexts but uses unrelated jokes as a crutch.
                ",1
151,2014-12-12,/critic/edward-douglas,"
                    Hilarious, but it's probably going to get us nuked.
                ",1
152,2014-12-11,/critic/claudia-puig,"
                    The Interview fails to live up to the hype, floundering as a rowdy comedy as it grows duller by the minute.
                ",0
